benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
robot 3,0.049133,0.000339,0.000674,0.388399,0.000446,0.005444,0.001505,0.397110,0.10s,10072
robot 4,0.048542,0.000464,0.000715,0.382322,0.000576,0.008651,0.002397,0.395433,0.11s,10076
robot 5,0.049485,0.000840,0.001617,0.391126,0.000812,0.012280,0.003728,0.410757,0.14s,10204
robot 6,0.049582,0.000775,0.001116,0.396598,0.001123,0.016202,0.005233,0.421397,0.16s,10224
robot 7,0.049696,0.001117,0.001271,0.400723,0.001429,0.021637,0.007086,0.433618,0.21s,10396
robot 8,0.051886,0.001087,0.001592,0.393750,0.001734,0.026932,0.009558,0.435039,0.25s,10476
robot 9,0.051018,0.000999,0.001596,0.416526,0.002353,0.034265,0.012443,0.468549,0.30s,10496
robot 10,0.052210,0.001106,0.001772,0.406533,0.002753,0.040828,0.016248,0.469599,0.35s,10632
robot 11,0.053195,0.001196,0.001945,0.416351,0.003269,0.054405,0.020103,0.497607,0.42s,10808
robot 12,0.056466,0.001300,0.002061,0.422341,0.003778,0.064523,0.024873,0.519250,0.49s,10940
robot 13,0.054873,0.001405,0.002275,0.424899,0.004801,0.074379,0.031637,0.539776,0.58s,11068
robot 14,0.056202,0.001813,0.002373,0.413663,0.005152,0.085717,0.036553,0.545629,0.69s,11244
robot 15,0.057734,0.002010,0.002549,0.421157,0.005730,0.096047,0.044141,0.572025,0.82s,11520
robot 16,0.059208,0.002214,0.002879,0.422285,0.006240,0.118729,0.056909,0.609664,0.95s,11660
robot 17,0.059773,0.002165,0.002988,0.433577,0.007074,0.133110,0.062981,0.642314,1.11s,11944
robot 18,0.061331,0.002186,0.003263,0.453386,0.008644,0.148968,0.080915,0.697795,1.29s,12172
robot 19,0.064940,0.002389,0.003449,0.452690,0.009753,0.166074,0.095620,0.730414,1.54s,12464
robot 20,0.064579,0.002415,0.003518,0.448775,0.011012,0.202344,0.110050,0.778551,1.80s,12752
robot 21,0.067506,0.001975,0.004085,0.447243,0.011072,0.224751,0.118651,0.808215,2.14s,13320
robot 22,0.070553,0.002409,0.003840,0.449447,0.012022,0.284657,0.130398,0.883222,2.47s,13812
